DATE,avg_expenditure_55_64,avg_expenditure_35_44,avg_expenditure_25_34,avg_expenditure_45_54,CPI,employees_construction,HCAI_GOVT,houses-for-sale-to-sold,HCAI_PP,HCAI_GSE,MORTGAGE30US,GDP,PERMIT,pvt_owned_house_under_const,personal_saving_rate,population,house_units_completed,retail_sales_home_furnishing_stores,UNRATE,unrate_construction,industrial_production_cement,producer_price_index_concrete_brick,job_gains_private,residential_const_val,target,homeownership,nonresidential_const_val,avg_expenditure_35_54,gdp_per_capita,CPI_TREND,GDP_RATE,GDP_TREND,EMP_CONST_RATE,EMP_CONST_TREND,HCAI,houses-for-sale-to-sold-rate,HOUSES_S2S_TREND,industrial_production_cement_cum,cpi_cum,houses-for-sale-to-sold-cum,job_gains_private_cum,pvt_owned_house_under_const_cum,PERMIT_cum,house_units_completed_cum,industrial_production_cement_rate,pvt_owned_house_under_const_rate,PERMIT_rate,job_gains_private_rate,house_units_completed_rate,PERMIT_TREND,job_gains_private_trend,pvt_owned_house_under_const_trend,house_units_completed_trend
2000-11,41287.0,46766.0,39407.0,47788.0,0.0574712643678088,6817.0,21.431,1.4350845252893227,15.93915993,6.124358113,7.745,10447.244,1614.0,970.0,4.7,283735.0,1539.0,7580.0,3.9,1.7404661748405046,137.4387,144.3,2781.67,347301.0,108.301,67.5,288986.0,94554.0,0.0368204275115865,UP,,DOWN,,DOWN,14.498172681,,DOWN,1574.7757,3.3969865243293085,16.007934830024407,31572.32,10800.0,17637.0,17425.0,,,,,,DOWN,DOWN,DOWN,DOWN
2000-12,41464.0,46913.0,39449.0,47936.0,-0.0574382538770748,6792.0,21.821,1.2809338454620642,16.09915993,5.974358113,7.382,10458.744,1543.0,969.0,4.4,283952.0,1521.0,7160.0,3.9,1.916922612182061,130.5541,144.2,2781.67,344139.0,109.14,67.5,281975.0,94849.0,0.0368327886403335,DOWN,,DOWN,,DOWN,14.631506014333334,,DOWN,1705.3298,3.3395482704522337,17.288868675486473,34353.99,11769.0,19180.0,18946.0,,,,,,DOWN,DOWN,DOWN,DOWN
2001-01,41701.0,47026.0,39523.0,47998.0,0.632183908045972,6824.0,22.218,1.33500106673234,16.25298916,5.835833945,7.0325,10470.231,1699.0,986.0,4.9,284169.0,1456.0,7764.0,4.2,2.2823823856765264,139.6751,144.2,2886.33,348279.0,109.846,67.5,278005.0,95024.0,0.0368450851429958,UP,0.0457331184190206,UP,0.0106070528957219,UP,14.768941035,-0.088555280008972,DOWN,1845.0049,3.971732178498206,18.62386974221881,37240.32,12755.0,20879.0,20402.0,2.546176003432854,2.554964096245924,2.492358069982697,2.51833652152454,2.562012785265116,UP,UP,UP,UP
2001-02,41940.0,47144.0,39595.0,48066.0,0.39977155910909,6841.0,22.108,1.308332819650179,16.05298916,5.7758339450000005,7.05,10513.151,1656.0,987.0,5.0,284392.0,1536.0,7611.0,4.2,2.2925347571405443,143.9848,144.2,2886.33,353629.0,110.499,67.57,270735.0,95210.0,0.0369671122957045,UP,0.041674064495496,UP,0.0163587761222244,UP,14.645607701666668,-0.1087337009691896,DOWN,1988.9897,4.371503737607296,19.93220256186899,40126.65,13742.0,22535.0,21938.0,1.9303882722102328,1.932824836737049,1.8857215454854477,1.8998379977818405,1.9092576516673745,UP,UP,UP,UP
2001-03,42179.0,47262.0,39667.0,48134.0,0.227531285551749,6862.0,21.998,1.33500106673234,15.852989159999998,5.715833945,6.952,10556.071,1659.0,1001.0,5.3,284615.0,1470.0,7549.0,4.3,2.128231705849268,147.6021,144.2,2886.33,350029.0,111.108,67.64,280450.0,95396.0,0.0370889482283084,UP,0.0376642281170003,UP,0.0074599921770766,UP,14.522274368333331,-0.088555280008972,DOWN,2136.5918,4.599035023159045,21.26720362860133,43012.98,14743.0,24194.0,23408.0,1.5795545164520963,1.5998523118340433,1.5627638509345647,1.5638341181816091,1.5526806764958172,UP,UP,UP,UP
2001-04,42418.0,47380.0,39739.0,48202.0,0.3972758229285,6844.0,21.88747873,1.3609765531356006,15.66419611,5.646561069,7.0775,10599.0,1666.0,1007.0,5.1,284838.0,1574.0,7560.0,4.4,1.9600947840472696,152.7133,148.0,2653.67,361991.0,111.651,67.7,278653.0,95582.0,0.0372106249868346,UP,0.03370441522832,UP,0.0073324862915549,UP,14.399411969666668,-0.0849231539368682,DOWN,2289.3051,4.996310846087545,22.62818018173693,45666.65,15750.0,25860.0,24982.0,1.3688749504038529,1.3790823351740378,1.3555273897077884,1.3518299457783949,1.336403057788958,UP,UP,UP,UP
2001-05,42657.0,47498.0,39811.0,48270.0,0.452232899943458,6849.0,22.03747873,1.3862943611198906,15.51419611,5.616561068999999,7.145,10598.67,1665.0,1015.0,4.5,285086.67,1497.0,7559.0,4.3,1.7227665977411035,149.6911,149.3,2653.67,360534.0,112.163,67.83,281069.0,95768.0,0.0371770100650444,UP,0.0313846592529392,UP,0.0116015692915845,UP,14.389411969666668,-0.0664913898054554,DOWN,2438.9962,5.448543746031003,24.01447454285682,48320.32,16765.0,27525.0,26479.0,1.2115998327868027,1.2197038035389058,1.2097417591444068,1.194778644616387,1.1665024681540448,UP,UP,UP,UP
2001-06,42896.0,47616.0,39883.0,48338.0,0.16882386043895,6840.0,22.18747873,1.4350845252893227,15.36419611,5.586561069,7.159999999999999,10598.34,1626.0,1013.0,4.4,285335.34,1654.0,7613.0,4.5,1.62924053973028,147.0751,149.3,2653.67,365905.0,112.796,67.96000000000001,284499.0,95954.0,0.0371434537341221,UP,0.0290701281341449,UP,0.0091056584495995,UP,14.379411969666668,-0.0889698994750686,DOWN,2586.0713,5.617367606469953,25.449559068146144,50973.99,17778.0,29151.0,28133.0,1.0927069145585948,1.097431750542977,1.0919452554082465,1.0723776538901364,1.0569105759988433,UP,UP,UP,UP
2001-07,43135.0,47734.0,39955.0,48406.0,-0.280898876404488,6845.0,22.326,1.4350845252893227,15.21256375,5.562341532,7.1275,10598.02,1598.0,1017.0,5.6,285584.0,1582.0,7671.0,4.6,1.589235205116581,147.7865,149.3,2556.0,366500.0,113.491,68.1,279200.0,96140.0,0.0371099921564233,DOWN,0.0267612570514968,UP,0.00747858900202,UP,14.366968427333331,0.0169343092453466,UP,2733.8578,5.336468730065465,26.884643593435467,53529.99,18795.0,30749.0,29715.0,0.9980735855818929,1.0003318455143868,0.9989331061488732,0.96970393359177,0.9693301942222448,UP,UP,UP,UP
2001-08,43374.0,47852.0,40027.0,48474.0,0.0,6827.0,22.306,1.4816045409242156,15.20256375,5.402341532,6.95,10618.83,1615.0,1011.0,6.6,285826.33,1615.0,7628.0,4.9,1.7578579175523736,145.3626,149.3,2556.0,369000.0,114.167,68.07,274690.0,96326.0,0.0371513359178631,DOWN,0.0249319448989955,UP,0.0045511346264576,UP,14.303635094,0.0,DOWN,2879.2204,5.336468730065465,28.366248134359683,56085.99,19806.0,32364.0,31330.0,0.916307021138424,0.9206423047987768,0.9216815805090316,0.8847336132292901,0.8916214744022535,UP,UP,UP,UP
2001-09,43613.0,47970.0,40099.0,48542.0,0.450704225352114,6813.0,22.286,1.4816045409242156,15.19256375,5.242341531999999,6.8175,10639.64,1565.0,1014.0,7.0,286068.66,1551.0,7419.0,5.0,1.7047480922384253,143.2876,149.3,2556.0,368809.0,114.811,68.03999999999999,270320.0,96512.0,0.0371926096343444,UP,0.0231131093402418,UP,0.0008810573257167,UP,14.240301760666666,0.0664913898054554,UP,3022.508,5.787172955417579,29.8478526752839,58641.99,20820.0,33929.0,32881.0,0.8484576473403486,0.8545930576858164,0.8538525462898972,0.8130091298772019,0.8275435367817036,UP,UP,UP,UP
2001-10,43852.0,48088.0,40171.0,48610.0,-0.33651149747618,6804.0,22.261,1.4586150226995167,15.18807607,5.078796687,6.6175,10660.465,1566.0,1008.0,3.1,286311.0,1599.0,7543.0,5.3,1.8082887711792652,146.5655,149.3,2515.33,370957.0,115.309,68.0,268404.0,96698.0,0.0372338645738375,DOWN,0.0213052022973028,UP,-0.0014686447051595,DOWN,14.175957585666666,0.0508531109330267,UP,3169.0735,5.450661457941399,31.30646769798341,61157.32,21828.0,35495.0,34480.0,0.7906471779204947,0.7977546151649104,0.7953666514656063,0.7533988789578965,0.774941227584552,UP,UP,UP,UP
2001-11,44091.0,48206.0,40243.0,48678.0,-0.168823860438935,6784.0,22.241,1.410986973710262,15.36807607,5.108796687,6.658,10701.475,1651.0,1011.0,3.5,286519.0,1555.0,7694.0,5.5,2.028148247292285,151.3362,149.3,2515.33,375803.0,115.857,67.93,260359.0,96884.0,0.0373499663198601,DOWN,0.0240433708646586,UP,-0.0048525938910462,DOWN,14.239290919,-0.0169343092453466,DOWN,3320.4097,5.281837597502464,32.71745467169367,63672.65,22839.0,37146.0,36035.0,0.745975329491723,0.7489234668620113,0.7448571256769224,0.701474326662408,0.7265847317298167,UP,UP,UP,UP
2001-12,44330.0,48324.0,40315.0,48746.0,-0.394588500563707,6785.0,22.221,1.33500106673234,15.54807607,5.138796686999999,7.065,10742.485,1680.0,996.0,3.8,286727.0,1693.0,7869.0,5.7,2.19722457733622,149.4688,149.3,2515.33,376279.0,116.456,67.86,264194.0,97070.0,0.0374658996188011,DOWN,0.0267680653978387,UP,-0.0010311557222137,DOWN,14.302624252333333,0.0413427122080351,UP,3469.8785000000003,4.887249096938757,34.05245573842601,66187.98,23835.0,38826.0,37728.0,0.7103610558213834,0.7056861327612637,0.7052220558478919,0.6557807063321018,0.6888096969016176,UP,UP,UP,UP
2002-01,44318.0,48234.0,40335.0,48861.0,0.226372382569328,6775.0,22.21,1.4350845252893227,15.73934624,5.179170563,6.9975,10783.5,1665.0,996.0,5.7,286935.0,1632.0,7847.0,5.7,2.6100697927420065,154.1368,149.3,2741.67,377631.0,117.143,67.8,263731.0,97095.0,0.0375816822625333,UP,0.0294811004335892,UP,-0.0072064434236133,DOWN,14.376172267666666,0.0722916592151995,UP,3624.0153,5.113621479508085,35.48754026371533,68929.65,24831.0,40491.0,39360.0,0.6751006767106035,0.6661695209775936,0.6623358580480162,0.6156943739869015,0.6571171369237255,UP,UP,UP,UP
2002-02,44306.0,48138.0,40352.0,48974.0,0.395256916996071,6766.0,22.39,1.3862943611198906,15.73934624,5.379170563,6.8925,10818.15,1787.0,1005.0,5.5,287148.0,1671.0,7932.0,5.7,2.501435951739211,153.3106,149.3,2741.67,385745.0,117.845,67.73,256668.0,97112.0,0.0376744744870241,UP,0.0285983294724091,UP,-0.0110238494203442,DOWN,14.502838934333331,0.0578805900361631,UP,3777.3259,5.508878396504156,36.87383462483522,71671.31999999999,25836.0,42278.0,41031.0,0.6413895040428724,0.6313120315613421,0.6291972000508826,0.5800499654841933,0.6261075855783813,UP,UP,UP,UP
2002-03,44294.0,48042.0,40369.0,49087.0,0.562429696287966,6755.0,22.57,1.410986973710262,15.73934624,5.579170563,7.014,10852.8,1691.0,1013.0,5.6,287361.0,1559.0,7936.0,5.7,2.468099531471619,144.7966,148.6,2741.67,385406.0,118.686,67.66,252252.0,97129.0,0.0377671291511374,UP,0.0277219665586318,UP,-0.0157159730240957,DOWN,14.629505601,0.0553573499698529,UP,3922.1225,6.071308092792122,38.28482159854548,74412.98999999999,26849.0,43969.0,42590.0,0.6074210187016056,0.5994601824457595,0.5973801716172737,0.5481285927650217,0.5985416396573536,UP,UP,UP,UP
2002-04,44282.0,47946.0,40386.0,49200.0,0.559284116331084,6710.0,22.756,1.4586150226995167,15.7432279,5.767403773,6.985,10887.46,1669.0,1011.0,5.5,287574.0,1625.0,7874.0,5.9,2.312535423847214,142.7707,150.1,2614.67,398990.0,119.61,67.6,250341.0,97146.0,0.0378596813341957,UP,0.0268520111887521,UP,-0.0197734050463566,DOWN,14.755543891,0.0692848750644394,UP,4064.8932,6.630592209123206,39.743436621245,77027.65999999999,27860.0,45638.0,44215.0,0.5741391478576129,0.5703516030800176,0.5680433294805208,0.5227963059321225,0.5709085324839809,UP,UP,UP,UP
2002-05,44270.0,47850.0,40403.0,49313.0,0.0,6684.0,22.496,1.3862943611198906,15.8432279,5.727403773,6.806,10919.65,1716.0,1019.0,6.2,287817.0,1705.0,7959.0,5.8,2.0014800002101243,141.9094,150.1,2614.67,394223.0,120.724,67.72999999999999,241636.0,97163.0,0.0379395588168871,DOWN,0.0298353969733782,UP,-0.0243860454826209,DOWN,14.688877224333332,0.0,DOWN,4206.8026,6.630592209123206,41.12973098236488,79642.32999999999,28879.0,47354.0,45920.0,0.5451163204935277,0.5438213074681574,0.5425566107520643,0.499693559301788,0.5505487860060477,UP,UP,UP,UP
2002-06,44258.0,47754.0,40420.0,49426.0,0.0556173526140231,6701.0,22.236,1.4350845252893227,15.9432279,5.687403773,6.65,10951.839999999998,1758.0,1023.0,6.2,288060.0,1589.0,7831.0,5.8,1.9315214116032136,144.8674,150.5,2614.67,401920.0,121.812,67.86,235344.0,97180.0,0.0380193015344025,UP,0.0328100935948486,UP,-0.0205309626434254,DOWN,14.622210557666667,0.0,DOWN,4351.67,6.686209561737229,42.5648155076542,82256.99999999999,29902.0,49112.0,47509.0,0.520419827964097,0.5199636299722529,0.5216141865997835,0.4785329897770252,0.5239759022545573,UP,UP,UP,UP
2002-07,44246.0,47658.0,40437.0,49539.0,0.111172873818774,6688.0,21.964,1.4350845252893227,16.04755382,5.633759119,6.485,10984.04,1738.0,1029.0,5.4,288303.0,1615.0,7741.0,5.8,1.9315214116032136,143.1601,150.5,2560.33,404632.0,122.887,68.0,229426.0,97197.0,0.0380989445132378,UP,0.035776118902328,UP,-0.0232035829580117,DOWN,14.548437646333332,0.0,DOWN,4494.8301,6.797382435556003,43.99990003294352,84817.32999999999,30931.0,50850.0,49124.0,0.4972141444117617,0.4981680402283576,0.5030226490960426,0.4602578275319502,0.5026957449295136,UP,UP,UP,UP
2002-08,44234.0,47562.0,40454.0,49652.0,0.333148250971684,6701.0,21.764,1.3862943611198906,16.167553820000002,5.603759118999999,6.29,11009.84,1695.0,1013.0,5.4,288537.67,1722.0,7837.0,5.7,2.0014800002101243,142.5233,150.5,2560.33,398875.0,123.83,68.1,227442.0,97214.0,0.0381573747372396,UP,0.0361605781324164,UP,-0.0186285694451095,DOWN,14.511770979666666,-0.0664913898054554,DOWN,4637.3534,7.130530686527687,45.38619439406341,87377.65999999999,31944.0,52545.0,50846.0,0.4766242525149941,0.4779994476618092,0.4846232513719666,0.4433535948613352,0.4842253517028635,UP,UP,UP,UP
2002-09,44222.0,47466.0,40471.0,49765.0,0.16602102933039,6702.0,21.564,1.3609765531356006,16.28755382,5.573759119,6.0925,11035.64,1803.0,1024.0,5.9,288772.34,1641.0,7832.0,5.7,1.9459101490553128,144.0017,150.5,2560.33,394820.0,124.779,68.2,224568.0,97231.0,0.0382157099949392,UP,0.0365433865536702,UP,-0.0164265624764125,DOWN,14.475104313,-0.0849231539368682,DOWN,4781.3551,7.296551715858077,46.74717094719901,89937.98999999999,32968.0,54348.0,52487.0,0.4586370497316034,0.4596233308496935,0.4711377084435248,0.4276694399781485,0.4676705365365023,UP,UP,UP,UP
