DATE,CXUTOTALEXPLB0404M
2000-01-01,45149
2001-01-01,46908
2002-01-01,48330
2003-01-01,47175
2004-01-01,50402
2005-01-01,55190
2006-01-01,57476
2007-01-01,58934
2008-01-01,58808
2009-01-01,57301
2010-01-01,55946
2011-01-01,57271
2012-01-01,58069
2013-01-01,58784
2014-01-01,62512
2015-01-01,65334
2016-01-01,66444
2017-01-01,69034
2018-01-01,71198
2019-01-01,74890
2020-01-01,74161
2021-01-01,79712
