DATE,CXUTOTALEXPLB0403M
2000-01-01,38945
2001-01-01,39451
2002-01-01,40318
2003-01-01,40525
2004-01-01,42701
2005-01-01,45068
2006-01-01,47582
2007-01-01,47510
2008-01-01,48159
2009-01-01,46494
2010-01-01,46617
2011-01-01,48097
2012-01-01,49544
2013-01-01,48087
2014-01-01,49547
2015-01-01,52062
2016-01-01,52838
2017-01-01,55325
2018-01-01,56457
2019-01-01,57128
2020-01-01,57644
2021-01-01,63905
